City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Honiara,SB,79.84,broken clouds,-9.4333,159.95,Heritage Park Hotel
649,Neiafu,TO,75.2,light rain,-18.65,-173.9833,Mystic Sands
656,Padang,ID,76.86,overcast clouds,-0.9492,100.3543,Mercure Padang
661,Remanso,BR,82.15,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
662,Daru,PG,76.37,broken clouds,-9.0763,143.2092,Daru Lodge
671,Viedma,AR,79.54,clear sky,-40.8135,-62.9967,Hotel Cristal
678,Alta Floresta,BR,89.6,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
680,Basco,PH,77.4,broken clouds,20.4487,121.9702,Nathaniel's Lodge
681,Talara,PE,86.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
682,Bhuj,IN,79.2,clear sky,23.2667,69.6667,Regenta Resort Bhuj
683,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
685,Sao Miguel Do Araguaia,BR,80.1,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
692,Neuquen,AR,86.0,clear sky,-38.9516,-68.0591,Hotel del Comahue
693,Kralendijk,BQ,84.2,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
698,Venice,US,81.0,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
699,Hambantota,LK,78.49,broken clouds,6.1241,81.1185,Bungalow 63
701,Kavieng,PG,77.92,light rain,-2.5744,150.7967,Nusa Island Retreat
